polarity,filtered_text,sentiment,id,lang,text,subjectivity,Joe Biden,Raphael Warnock,Donald Trump,2022 Special Election,Biden 2024,2020 Election,Trump 2024,Herschel Walker,Democrats,2022 Midterm,Republicans
-0.3612000048160553,rt the 2020 election was rigged. that is now a fact.,Negative,"Any[""1584349209683439616""]",en,"RT @GrahamAllen_1: The 2020 Election was rigged.

That is now a FACT.",obj,false,false,false,false,false,true,false,false,false,false,false
0.0,"talk to mcconnell, trump, that lake woman in az, mtg and boebert. talk to gosar &amp; biggs. https://t.co/0dbvge3u3r",Neutral,"Any[""1584349209683439616"", ""1600736022488403971""]",en,"@iamgavinjames Talk to mcconnell, trump, that lake woman in AZ, MTG and Boebert.  Talk to Gosar &amp; Biggs.   https://t.co/0DbVge3U3r",obj,false,false,false,true,false,true,false,false,false,false,false
0.0,trump owns you. you couldn't get elected dog catcher now.,Neutral,"Any[""1584349209683439616"", ""1584339387256639488""]",en,@Liz_Cheney Trump owns you. You couldn't get elected Dog Catcher now. #LizTheRINO,obj,false,false,true,false,false,true,false,false,false,false,false
0.0,"में aap नहीं, और में आ गयी",Neutral,"Any[""1584349209683439616""]",hi,"@amitmalviya #गुजरात  में AAP  नहीं, 
#BAAP 
और 
#हिमाचल में #PAAP 

आ गयी",subj,false,false,false,false,false,true,false,false,false,false,false
0.0,✋,Neutral,"Any[""1584349209683439616""]",und,@_Peace_Love_US ✋,subj,false,false,false,false,false,true,false,false,false,false,false
-0.025800000876188278,"prior to 2020, we were regular rnc donors. when rnc refused to defend election integrity after the 2020 election debacle, we vowed no more donations until a new chairperson was in place. we ignore donation requests save for a few individual candidates we donate to directly.",Negative,"Any[""1584349209683439616""]",en,"@robbystarbuck @misterchambo Prior to 2020, we were regular RNC donors. 

When RNC refused to defend election integrity after the 2020 election debacle, we vowed no more donations until a new chairperson was in place. 

We ignore donation requests save for a few individual candidates we donate to directly.",obj,false,false,false,false,false,true,false,false,false,false,false
-0.580299973487854,"he is not disbarred already? geesh, how much of a criminal does he need to be?",Negative,"Any[""1584349209683439616""]",en,"@_Peace_Love_US he is not disbarred already? geesh, how much of a criminal does he need to be?",obj,false,false,false,false,false,true,false,false,false,false,false
-0.051600001752376556,if that's the case then biden and all the democrats and parties involved should be in for treason ?,Negative,"Any[""1584349209683439616"", ""1600736022488403969""]",en,@JoelKatz If that's the case then biden and All the democrats and parties involved should be in for treason ?,subj,false,false,false,false,false,true,false,false,true,false,false
0.0,absolutely!,Neutral,"Any[""1584349209683439616""]",en,@_Peace_Love_US ABSOLUTELY!,obj,false,false,false,false,false,true,false,false,false,false,false
-0.29600000381469727,rt ginni thomas used the independent state legislature theory in her efforts to pressure state lawmakers to overturn the 2020 ele…,Negative,"Any[""1584349209683439616""]",en,RT @RBReich: Ginni Thomas used the independent state legislature theory in her efforts to pressure state lawmakers to overturn the 2020 ele…,obj,false,false,false,false,false,true,false,false,false,false,false
0.0,rt ginni thomas was involved in efforts to overturn the 2020 election using the independent state legislature theory—central to a…,Neutral,"Any[""1584349209683439616""]",en,RT @RBReich: Ginni Thomas was involved in efforts to overturn the 2020 election using the independent state legislature theory—central to a…,obj,false,false,false,false,false,true,false,false,false,false,false
0.0,that's why he will come back in 2023,Neutral,"Any[""1584349209683439616""]",en,@JoelKatz That's why he will come back in 2023,subj,false,false,false,false,false,true,false,false,false,false,false
-0.45879998803138733,rt i was banned from using twitter for about 12 hours because i dared question the 2020 election. so after taking that valua…,Negative,"Any[""1584349209683439616""]",en,RT @BehizyTweets: I was banned from using Twitter for about 12 hours because I dared question the 2020 election. So after taking that valua…,obj,false,false,false,false,false,true,false,false,false,false,false
0.0,"rt did you know in the 2020 election, there were 378 us counties where voter registration rates exceeded 100 percent of the a…",Neutral,"Any[""1584349209683439616""]",en,"RT @NoLeftTurns: Did you know in the 2020 election, there were 378 US counties where voter registration rates exceeded 100 percent of the a…",obj,false,false,false,false,false,true,false,false,false,false,false
0.0,"rt donald trump believes we should terminate “all rules, regulations and articles, even those found in the constitution” to ov…",Neutral,"Any[""1584349209683439616"", ""1584339387256639488""]",en,"RT @Liz_Cheney: Donald Trump believes we should terminate “all rules, regulations and articles, even those found in the Constitution” to ov…",obj,false,false,true,false,false,true,false,false,false,false,false
-0.5719000101089478,rt tens of millions of independents voted in 2020. if twitter only allows negative info against republicans while it removes n…,Negative,"Any[""1584349209683439616"", ""1600736022488403970""]",en,RT @CollinRugg: Tens of millions of independents voted in 2020. If Twitter only allows negative info against Republicans while it removes n…,obj,false,false,false,false,false,true,false,false,false,false,true
0.0,"rt breaking: calls out democrats for rigging the 2020 election. ""the last election was shaped by democratic off…",Neutral,"Any[""1584349209683439616"", ""1600736022488403969""]",en,"RT @Stat4Real: BREAKING: @TuckerCarlson calls out Democrats for rigging the 2020 election.

""The last election was shaped by Democratic off…",obj,false,false,false,false,false,true,false,false,true,false,false
-0.42149999737739563,why are you refusing to state is it the constitution is clear on this it is up to the states to determine how elections are run the problem is is the judges are coming in a single person and changing entire electoral processes.,Negative,"Any[""1584349209683439616""]",en,@RBReich Why are you refusing to state is it the constitution is clear on this it is up to the states to determine how elections are run the problem is is the judges are coming in a single person and changing entire electoral processes.,obj,false,false,false,false,false,true,false,false,false,false,false
0.4018999934196472,yes,Positive,"Any[""1584349209683439616""]",und,@_Peace_Love_US Yes,obj,false,false,false,false,false,true,false,false,false,false,false
0.44040000438690186,"biden was not president when he asked his son's nudes not be published jim baker did not work for the fbi under biden funny how you don't find these docs ""concerning"" https://t.co/hh15cyvd5t",Positive,"Any[""1584349209683439616"", ""1600736022488403971""]",en,"@ChuckGrassley Biden was not President when he asked his son's nudes not be published

Jim Baker did not work for the FBI under Biden

Funny how you don't find these docs ""concerning""
https://t.co/hH15Cyvd5t",obj,false,false,false,true,false,true,false,false,false,false,false
0.034299999475479126,https://t.co/9seirzf2ia bugs 🐰 isn't wrong; the violently ignorant are indeed the most dangerous.,Positive,"Any[""1584349209683439616""]",en,"https://t.co/9sEIrZf2Ia #thursdaymorning 
Bugs 🐰 isn't wrong; the violently ignorant are indeed the most dangerous. 
#TrumpIsANationalSecurityRisk",obj,false,false,false,false,false,true,false,false,false,false,false
-0.599399983882904,rt we had a coup in 2020. democrats &amp; intelligence community cheated voters stealing presidential election overthrowing g…,Negative,"Any[""1584349209683439616"", ""1584349209683439618"", ""1600736022488403969""]",en,RT @NetworksManager: We had a coup in 2020. Democrats &amp; intelligence community cheated voters stealing presidential election overthrowing g…,obj,true,false,false,false,false,true,false,false,true,false,false
-0.4767000079154968,rep paul gosar is wrong.,Negative,"Any[""1584349209683439616"", ""1584339387256639488""]",en,@sahilkapur @hutch1410 Rep Paul Gosar is wrong.,obj,false,false,true,false,false,true,false,false,false,false,false
0.0,rt ginni thomas was involved in efforts to overturn the 2020 election using the independent state legislature theory—central to a…,Neutral,"Any[""1584349209683439616""]",en,RT @RBReich: Ginni Thomas was involved in efforts to overturn the 2020 election using the independent state legislature theory—central to a…,obj,false,false,false,false,false,true,false,false,false,false,false
0.5105999708175659,"rt even after 15 years of anti-incumbency, delhi continues to trust the bjp, puts arvind kejriwal in place… aap’s vote share…",Positive,"Any[""1584349209683439616""]",en,"RT @amitmalviya: Even after 15 years of anti-incumbency, Delhi continues to trust the BJP, puts Arvind Kejriwal in place…

AAP’s vote share…",obj,false,false,false,false,false,true,false,false,false,false,false
-0.6808000206947327,another lie-- stop lying is not working,Negative,"Any[""1584349209683439616""]",en,@RBReich Another lie-- STOP lying is not working,obj,false,false,false,false,false,true,false,false,false,false,false
0.0,"rt the outcome in georgia is due primarily to trump, who cast a long shadow over this race. his meddling and insistence tha…",Neutral,"Any[""1584349209683439616""]",en,"RT @AmbJohnBolton: The outcome in Georgia is due primarily to Trump, who cast a long shadow over this race. His meddling and insistence tha…",obj,false,false,false,false,false,true,false,false,false,false,false
-0.8299999833106995,so you think revenge porn shouldn't be illegal? because posting pictures of naked hunter without his permission is revenge porn. why do you and your fellow elected gopers have such an obsession with his nakedness???????,Negative,"Any[""1584349209683439616""]",en,"@ChuckGrassley So you think Revenge Porn shouldn't be illegal? Because posting pictures of Naked Hunter without his permission is REVENGE PORN.

Why do you and your fellow elected GOPers have such an obsession with his nakedness???????",subj,false,false,false,false,false,true,false,false,false,false,false
-0.3612000048160553,"dude you're like 90 why are torturing iowa? you should have retired. they only voted for the r, not you.",Negative,"Any[""1584349209683439616""]",en,"@ChuckGrassley Dude you're like 90 why are torturing Iowa? You should have retired. They only voted for the R, not you.",subj,false,false,false,false,false,true,false,false,false,false,false
0.0,rt should rudy giuliani be disbarred over the 2020 election? ✋,Neutral,"Any[""1584349209683439616""]",en,RT @_Peace_Love_US: Should Rudy Giuliani be disbarred over the 2020 Election? ✋,obj,false,false,false,false,false,true,false,false,false,false,false
0.29600000381469727,"rt “money can’t buy happiness.” true, but it can buy free speech and expose how the 2020 election was rigged by twitter.",Positive,"Any[""1584349209683439616""]",en,"RT @CollinRugg: “Money can’t buy happiness.”

True, but it can buy free speech and expose how the 2020 election was rigged by Twitter.",obj,false,false,false,false,false,true,false,false,false,false,false
